기능 요구사항 (Functional Requirements) - FitNote Trainer,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FR-ID,대분류,기능명,기능설명,대상 사용자,채널,입력·조건,출력·결과,예외처리,적용버전,구현 깊이,MoSCoW,상태,데이터 영향,권한 영향,보안·개인정보 영향,관련 엔티티 후보,비고
FR-001,회원 관리,회원 프로필 등록,"트레이너는 회원의 이름, 목표, 운동 경험, 통증/주의사항을 등록할 수 있다.",트레이너,FitNote Trainer Web/PWA,"이름, 연락처, 운동 목표, 운동 경험, 통증/부상/주의사항",회원 기본 프로필 생성 및 회원 목록 반영,"필수값 누락, 중복 회원, 민감정보 동의 미확인 시 저장 불가 안내",v0.1 MVP,상세 구현,Must,확정,"members 신규, health_notes/precautions 저장",트레이너 본인 담당 회원만 등록/조회,개인정보 및 건강 관련 민감정보,"members, member_profiles, health_notes",페인포인트: 회원별 목표와 상태를 기억에 의존
FR-002,회원 관리,회원 상세 조회,"트레이너는 수업 전 회원의 목표, 주의사항, 이전 수업 요약을 한 화면에서 확인할 수 있다.",트레이너,FitNote Trainer Web/PWA,회원 선택,"회원 프로필, 최근 세션, 주의사항 요약 표시",회원 정보가 없으면 빈 상태와 등록 유도 표시,v0.1 MVP,상세 구현,Must,확정,"members, sessions 조회",담당 회원 데이터만 접근,건강 주의사항 노출 관리,"members, sessions, assignments",수업 전 빠른 확인 니즈 반영
FR-003,세션 기록,회원별 세션 기록 작성,"트레이너는 PT 수업 후 운동 내용, 세트/횟수, 특이사항을 회원별로 기록할 수 있다.",트레이너,FitNote Trainer Web/PWA,"운동명, 세트, 횟수, 중량, 특이사항, 수업일",회원별 세션 기록 저장,"필수 항목 누락 시 저장 전 안내, 네트워크 오류 시 임시 보존 안내",v0.1 MVP,상세 구현,Must,확정,"sessions, session_exercises 신규",작성자 트레이너만 수정 가능,수업 기록 개인정보,"sessions, session_exercises, members",이전 수업과 다음 수업을 연결하는 핵심 기능
FR-004,세션 기록,세션 기록 목록 및 이전 기록 확인,트레이너는 회원별 과거 세션 기록을 시간순으로 확인하고 다음 수업 계획에 참고할 수 있다.,트레이너,FitNote Trainer Web/PWA,"회원 선택, 기간 필터",세션 기록 목록과 상세 내용 표시,기록이 없으면 첫 기록 작성 안내,v0.1 MVP,상세 구현,Must,확정,"sessions 조회, 최신순 정렬",담당 회원 범위 조회,수업 이력 보호,"sessions, session_exercises",기록 누락과 회원 상태 혼동 문제 해결
FR-005,자세 분석,회원 사진 업로드,트레이너는 회원의 운동 자세 사진을 업로드해 자세 분석 입력 데이터로 사용할 수 있다.,트레이너,FitNote Trainer Web/PWA,"회원, 운동 동작, 자세 사진 파일",사진 저장 및 분석 대기 상태 생성,"지원하지 않는 파일 형식, 용량 초과, 회원 미선택 시 안내",v0.1 MVP,상세 구현,Must,확정,"posture_images 신규, 파일 스토리지 저장",담당 트레이너만 업로드/조회,신체 이미지 민감정보,"posture_images, members",자세 분석 기능의 입력 데이터
FR-006,자세 분석,YOLO 기반 자세 분석,시스템은 업로드한 사진에서 주요 자세 포인트를 분석해 자세 문제 후보를 도출한다.,"트레이너, 회원",Backend / Analysis View,업로드된 자세 사진,"관절/자세 포인트, 분석 상태, 문제 후보 반환","분석 실패, 사람 미검출, 사진 품질 낮음 시 재업로드 안내",v0.1 MVP,프로토타입 구현,Must,확정,"posture_analysis 생성, keypoints 저장",분석 결과는 담당 회원/트레이너 범위,신체 이미지 및 분석 결과,"posture_analysis, posture_keypoints",스쿼트 1개 동작 분석 데모로 범위 제한
FR-007,자세 분석,자세 점수 및 시각화,"시스템은 현재 자세와 기준 자세의 차이를 점수, 표시선, 이미지 오버레이로 보여준다.","트레이너, 회원",FitNote Trainer Web/PWA,"자세 분석 결과, 기준 자세 데이터","자세 점수, 개선 포인트, 시각화 이미지 표시",기준 자세가 없거나 분석 품질이 낮으면 제한된 결과 표시,v0.1 MVP,상세 구현,Must,확정,"posture_scores, visual_overlays 저장",담당 범위 조회,건강/신체 분석 정보,"posture_analysis, posture_scores",회원이 문제 자세를 눈으로 이해하도록 지원
FR-008,피드백,트레이너 피드백 작성,트레이너는 자세 분석 결과와 세션 내용을 바탕으로 최종 피드백을 작성할 수 있다.,트레이너,FitNote Trainer Web/PWA,"분석 결과, 세션 기록, 피드백 텍스트",회원에게 제공할 피드백 저장,"빈 피드백 저장 방지, 분석 결과 없이도 수동 피드백 작성 허용",v0.1 MVP,상세 구현,Must,확정,feedbacks 신규/수정,"트레이너 작성/수정, 회원 열람",건강 관련 조언 표현 주의,"feedbacks, sessions, posture_analysis",AI가 아닌 트레이너 판단 중심으로 신뢰 확보
FR-009,과제 관리,과제 등록,트레이너는 다음 수업 전까지 수행할 운동 과제를 회원에게 등록할 수 있다.,트레이너,FitNote Trainer Web/PWA,"과제명, 설명, 횟수/세트, 마감일, 주의사항",회원별 과제 생성 및 리포트 반영,마감일 누락 또는 과도한 과제 입력 시 확인 안내,v0.1 MVP,상세 구현,Must,확정,assignments 신규,"담당 트레이너 작성, 회원 열람",운동 수행 정보,"assignments, members",수업 외 시간까지 관리받는 느낌 제공
FR-010,리포트,간단 리포트 생성,"시스템은 세션 기록, 자세 분석, 피드백, 과제를 요약해 회원에게 보여줄 간단 리포트를 생성한다.","트레이너, 회원",FitNote Trainer Web/PWA,"세션 기록, 자세 점수, 피드백, 과제",수업 요약 리포트 화면 생성,일부 데이터가 없으면 해당 섹션을 숨기거나 빈 상태 표시,v0.1 MVP,상세 구현,Must,확정,report_snapshots 또는 조회 조합,회원 본인/담당 트레이너 열람,개인 운동 기록 및 신체 분석 정보,"reports, sessions, feedbacks, assignments",관리받고 있다는 인상과 재등록 판단 근거 제공
